position	strength.s=>-u	strength.w=>-p	stress.s=>-u	stress.w=>-p	footmin-none	footmin-no-s-unless-preceded-by-ww	posthoc-no-final-ww	posthoc-standardize-weakpos
pos0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0
pos1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pos2	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0
pos3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pos4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pos5	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0
pos6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pos7	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0
pos8	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0
pos9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
